611, 387
610, 389
609, 389
607, 389
611, 389
611, 392
611, 392
611, 394
611, 395
611, 397
611, 398
611, 399
611, 400
611, 402
610, 403
610, 404
610, 405
610, 407
610, 408
610, 410
619, 386
617, 386
617, 387
616, 389
616, 390
616, 392
616, 393
616, 395
615, 397
615, 399
615, 400
616, 403
615, 404
615, 405
615, 406
616, 407
616, 409
617, 409
618, 410
620, 410
621, 410
622, 410
623, 408
623, 407
623, 406
623, 402
624, 399
624, 397
623, 397
624, 395
624, 394
623, 392
623, 390
623, 387
623, 386
622, 386
